station_id,name,address,postal_code,city,latitude,longitude
931254,Turmöl,Altmannsdorferstraße 150,1230,Wien,48.1547657,16.3193503
951924,Turmöl Quick,Grazer Straße 33,8510,Stainz,46.8971308,15.2678969
1004230,Tankstelle Holzgethan,Marktstraße 39,2831,Warth,47.6471798,16.1264914
1038732,ENI,Gesäusestraße,8940,Liezen,47.5593257,14.2532636
1048950,RAG.ERDGAS.MOBIL,Schwarzmoos 28,4851,Gampern,48.01639,13.57391
1048951,RAG.ERDGAS.MOBIL,Krift 51,4550,Kremsmünster,48.021777,14.121975
1059610,ENI,Amraser See 64,6020,Innsbruck,47.2634138,11.4333943
1072750,HWK Diesel,Franz-Cervinka-Weg 3,6372,Oberndorf in Tirol,47.4886206,12.3768668
1093770,AVIA Xpress (Automaten-Tankstelle),Hauptstraße 34,4675,Weibern,48.181118,13.698211
1110070,Turmöl Quick,Hauptstraße 78,7341,Markt Sankt Martin,47.5591137,16.4324706
1113150,Diskont Tankstelle,"Herrenau 2 (""Hofer-Parkplatz"")",6706,Bürs,47.152981,9.814188
1113151,Diskont Tankstelle,"Lastenstrasse 1 (""Hofer-Parkplatz"")",9800,Spittal an der Drau,46.787236,13.517817
1113701,Gutmann Eni Tankstelle,Stubaitalstrasse 10,6142,Mieders,47.160059,11.368108
1115118,AUTO HUBER GmbH,Bundesstraße 191,8783,Gaishorn/See,47.489883,14.5271668
1121781,Turmöl Quick,Mariasdorf 54,7433,Mariasdorf,47.3629773,16.240665
1128824,Diskont Tankstelle,"Burgenlandstraße /B50 (""Hofer Parkplatz"")",7344,Stoob,47.514537,16.487473
1131667,AWI-Diskont Bedienungstankstelle,Sternwartestraße 23,1180,Wien,48.2295664,16.3462611
1132409,Turmöl Quick,Hoeflach 109,8350,Fehring,46.9376143,16.0040279
1140459,"TANKSTELLE PREHM, Krennach",Krennach 13,8312,Ottendorf,47.0262052,15.8892822
1144580,Diskont Tankstelle,"Mankerstrasse 59 (""Hofer-Parkplatz"")",3380,Pöchlarn,48.19947,15.220914
1149829,Rekord-Tankstelle,Wirtschaftspark-West 9,7423,Pinkafeld,47.373778,16.092691
1151451,TURMÖL powered by boesch energy,Schoenbrunner Strasse 213,1120,Wien,48.18452,16.33505
1152503,TS-Allerheiligen (gegenüber Uniwash),Wieden 129a,8643,Allerheiligen,47.481729,15.401709
1168600,LMEnergy Express,Almteilweg 1,6706,Bürs,47.151467,9.810635
1172639,SB-Tankstelle Zauner,Jagern 18,4761,Enzenkirchen,48.37648,13.63102
1178939,"TurboStopp, Freie Tankstelle",Gerlos 297,6281,Gerlos,47.2286462,12.0479962
1190579,Pollak-Deine Tankstelle,Im Stadtfeld 2,2070,Retz,48.7536887,15.9583799
1199819,masterDIESEL,Vorarlberger Allee 3,1230,Wien,48.1319793,16.3544422
1200719,Treibstoffparadies,Radlpassstraße 2,8530,Deutschlandsberg,46.8286937,15.2382304
1248127,Diskont Tankstelle,"Shuttleworthstraße 11 (""Hofer-Parkplatz"")",1210,Wien,48.271488,16.407684
1249027,Turmöl Quick,Frauentaler Straße 76,8530,Deutschlandsberg,46.8187066,15.2274847
1250795,KMG Klagenfurt Mobil GmbH,Kirchengasse 69,9020,Klagenfurt am Wörthersee,46.6101948,14.318457399999945
1261240,Turmöl,Engerthstrasse 146,1200,Wien,48.233836,16.3910922
1264659,Diskont Tankstelle,"Bundesstraße 6 (""Hofer-Parkplatz"")",6842,Koblach,47.325984,9.629425
1264660,Turmöl Quick,Eichenstraße 2B,1120,Wien,48.1780142,16.3444115
1304099,Diskont Tankstelle,"Panzendorf 182 (""Hofer Parkplatz"")",9920,Heinfels,46.74827,12.45306
1304279,Turmöl Quick,Windbüchelgasse 2,4812,Pinsdorf,47.9375214,13.7570008
1310359,GENOL - Lagerhaus,Alberner Hafenzufahrtsstraße 17,1110,Wien,48.17277,16.47269
1317406,Turmöl,Wimbergstrasse 27,4171,St.Peter am Wimberg,48.5017483,14.0766343
1317947,Turmöl Quick,Druckereistraße 5,4810,Gmunden,47.9253052,13.7884062
1318663,Freie Tankstelle,Fisching 45,8741,Weißkirchen,47.161529,14.7363227
1329486,Turmöl Quick,Klagenfurterstraße 19,9220,Velden,46.6179668,14.0501651
1338037,Turmöl Quick,Fabrikgasse 29,8020,Graz,47.0591358,15.4265899
1339976,Turmöl Quick,Klagenfurterstraße 21,9062,Moosburg,46.6589993,14.1769673
1340146,Turmöl Quick,Gail 159,9613,Feistritz/Gail,46.5800719,13.6076839
1354660,JET TANKSTELLE,RAUTENWEG 9,1220,WIEN,48.263651,16.459702
1354663,JET TANKSTELLE,NEILREICHGASSE 39,1100,WIEN,48.174287,16.365643
1354667,JET TANKSTELLE,SIMMERINGER HAUPTSTRASSE 275,1110,WIEN,48.159966,16.43266
1354668,JET TANKSTELLE,LINZERSTRASSE 20,3300,AMSTETTEN,48.125588,14.862613
1354670,JET TANKSTELLE,TRIESTERSTRASSE 292,1230,WIEN,48.131138,16.321654
1354671,avanti - Fügen im Zillertal Zillertalstraße 14,Zillertalstrasse 14,6263,Fuegen im Zillertal,47.35141,11.85149
1354672,JET TANKSTELLE,OBERLAAERSTR. 276,1230,WIEN,48.146913,16.366831
1354673,OMV - Innsbruck Andechsstraße 83,Andechsstrasse 83,6020,Innsbruck,47.26531,11.42629
1354674,JET TANKSTELLE,PIANS 58 D,6551,PIANS,47.131173,10.506121
1354676,JET TANKSTELLE,MÜNCHER STRASSE 54,6130,SCHWAZ,47.353777,11.708531
1354677,avanti - Landeck Innstrasse 38,Innstrasse 38,6500,Landeck,47.14163,10.56352
1354679,avanti - Wörgl Salzburger Straße 48,Salzburger Strasse 48,6300,Woergl,47.49011,12.0728
1354685,JET TANKSTELLE,KARAWANKENWEG 18,9500,VILLACH,46.59817,13.848953
1354692,JET TANKSTELLE,DIESELSTRASSE 2,3362,AMSTETTEN MAUER,48.102068,14.823914
1354702,JET TANKSTELLE,HIRSCHSTETTNERSTRASSE 52,1220,WIEN,48.238087,16.460684
1354703,avanti - Weißenbach am Lech 46, 46,6671,Weissenbach am Lech,47.44138,10.64229
1354707,avanti - Krems an der Donau Förthofer Donaulände 8,Foerthofer Donaulaende 8,3500,Krems an der Donau,48.39735,15.56875
1354711,JET TANKSTELLE,LUSTENAUERSTRASSE 2,6840,GÖTZIS,47.344695,9.656679
1354712,OMV - Frauenhofen Wiener Straße 6,Wiener Strasse 6,3580,Frauenhofen,48.66569,15.63271
1354713,SCHNELL UND GUENSTIG TANKSTELLE,INDUSTRIEPARKSTRASSE 1,2130,MISTELBACH,48.560945,16.576985
1354717,JET TANKSTELLE,BAHNHOFSTR. 26,6500,LANDECK,47.150185,10.581303
1354721,JET TANKSTELLE,LINZER STRASSE 453,1140,WIEN,48.203103,16.244262
1354727,JET TANKSTELLE,KÄRNTNERSTRASSE 88,9900,LIENZ,46.831014,12.783933
1354728,avanti - Poysdorf Wiener Straße 63,Wiener Strasse 63,2170,Poysdorf,48.65948,16.62935
1354731,JET TANKSTELLE,GADNERGASSE 6,1110,WIEN,48.16679,16.410194
1354741,MAXI TANK TANKSTELLE,GUNSKIRCHNERSTRASSE 7,4600,WELS,48.147172,13.974008
1354747,JET TANKSTELLE,BUNDESSTRASSE 18,5600,ST JOHANN IM PONGAU,47.350359,13.194386
1354748,JET TANKSTELLE,HERRENAU 1,6706,BUERS,47.152278,9.814175
1354749,avanti - Krems an der Donau Bertschingerstraße 6-8,Bertschingerstrasse 6-8,3500,Krems an der Donau,48.40624,15.60365
1354750,JET TANKSTELLE,DONAUFELDER STRASSE 135,1210,WIEN,48.252498,16.426062
1354751,OMV - Schwechat S1 KM 9,S1 KM 9,2320,Schwechat,48.12249,16.4387
1354752,MAXI TANK TANKSTELLE,WALDBADSTRASSE 1,5081,ANIF,47.73775,13.068287
1354753,OMV - Wiener Neudorf IZ NÖ Süd Straße 4 Objekt 9,IZ NOe Sued Strasse 4 Objekt 9,2351,Wiener Neudorf,48.0776,16.3233
1354760,JET TANKSTELLE,BADSTUBENWEG 90,9500,VILLACH,46.631499,13.824641
1354766,JET TANKSTELLE,AN DER SCHÜTT 47,3500,KREMS,48.404642,15.655767
1354769,JET TANKSTELLE,SIMMERINGER HAUPTSTRASSE 336,1110,WIEN,48.147379,16.463011
1354775,JET TANKSTELLE,ALPENSTRASSE 165,5020,SALZBURG,47.765882,13.071171
1354777,JET TANKSTELLE,GRINDELSTRASSE 16,6890,LUSTENAU,47.419549,9.659337
1354778,OMV - Wiener Neustadt Wiener Straße 126,Wiener Strasse 126,2700,Wiener Neustadt,47.84322,16.24631
1354779,JET TANKSTELLE,HIETZINGER KAI 99,1130,WIEN,48.19022,16.289543
1354782,OMV - Loosdorf Gewerbestraße 8,Gewerbestrasse 8,3382,Loosdorf,48.19,15.409
1354784,OMV - Oberpullendorf Stoob Süd 6,Stoob Sued 6,7350,Oberpullendorf,47.50957,16.50023
1354790,JET TANKSTELLE,GEWERBEPARK 12,5161,ELIXHAUSEN,47.871096,13.065989
1354793,avanti - Gaweinstal Brünner Straße 35,Bruenner Strasse 35,2191,Gaweinstal,48.48222,16.59312
1354794,JET TANKSTELLE,KETZERGASSE 208,1230,WIEN,48.130709,16.289516
1354805,avanti - Ybbs Bahnhofstraße 13,Bahnhofstrasse 13,3370,Ybbs,48.17039,15.08587
1354807,avanti - Amstetten Wiener Straße 60,Wiener Strasse 60,3300,Amstetten,48.12263,14.88932
1354809,JET TANKSTELLE,RHEINSTRASSE 99,6971,HARD,47.47757,9.679413
